solver,accuracy,precision,recall,f1,auc,training_time,n_iter,converged
adam,0.9440559440559441,0.9591836734693877,0.8867924528301887,0.9215686274509803,0.9928721174004193,0.17851519584655762,36,True
sgd,0.9230769230769231,0.9375,0.8490566037735849,0.8910891089108911,0.9895178197064989,0.5463337898254395,141,True
lbfgs,0.958041958041958,0.9607843137254902,0.9245283018867925,0.9423076923076923,0.9834381551362683,0.299731969833374,177,True
